bid_notice_id,estimated_price,base_price,num_bidders,estimated_cost,Minimum Bid Amount Rate (MBAR),bid_rigging_label,Bid_Price_(1st_rank_Bidder),BAR_(1st_rank_Bidder),Firm_id_(1st_rank_Bidder),Bid_Price_(Competing_Bidder),BAR_(Competing_Bidder),Firm_id_(Competing_Bidder)
20130308392,1719883825.0,1707640000.0,3.0,1552400000.0,82.995,1.0,1451494000.0,2.0049999999999955,2158169556.0,1396902000.0,-1.191926752711339,2148101868.0
20130308399,1680854150.0,1675000000.0,3.0,1522727272.0,82.995,1.0,1423000000.0,1.9602238805970131,3018140355.0,1426574000.0,2.173597014925363,2158169556.0
20130308415,1215542575.0,1207000000.0,4.0,1097272727.0,82.995,1.0,1015200000.0,1.114362054681024,3018140355.0,1025700000.0,1.9842874896437337,1288156136.0
20130308460,915392625.0,913570000.0,5.0,830518181.0,82.995,1.0,761134000.0,0.31925068686580005,3018140355.0,766928000.0,0.9534659084689707,1288156136.0
20130308553,301658250.0,300000000.0,6.0,272727272.0,82.995,1.0,251755000.0,0.9233333333333178,1288156136.0,252772000.0,1.2623333333333306,2158169556.0
20070619400,395310125.0,395000000.0,8.0,464769000.0,0.0,1.0,367534000.0,-6.9534177215189885,1048124870.0,368227000.0,-6.777974683544301,1108105034.0
20071000813,875145200.0,877000000.0,6.0,1033855000.0,0.0,1.0,845000000.0,-3.6488027366020503,1218113494.0,846138000.0,-3.5190421892816346,1108105034.0
20080101131,533747350.0,534600000.0,9.0,590540000.0,0.0,1.0,490248000.0,-8.296296296296305,1108105034.0,497210000.0,-6.994014216236451,1058169429.0
20080111161,476475075.0,477400000.0,6.0,542696000.0,0.0,1.0,459522800.0,-3.744700460829492,1058169429.0,463000000.0,-3.0163385002094714,1048124870.0
20080323070,1011758250.0,1016000000.0,6.0,1141153200.0,0.0,1.0,978005600.0,-3.7396062992125962,1048124870.0,983000000.0,-3.2480314960629926,1218113494.0
20080711139,669332175.0,673000000.0,7.0,680121000.0,0.0,1.0,669800000.0,-0.47548291233283635,1058169429.0,673319700.0,0.047503714710245504,1048124870.0
20080915502,1181972050.0,1170000000.0,8.0,1186831100.0,0.0,1.0,1148852000.0,-1.8075213675213746,1028123012.0,1167960000.0,-0.17435897435898084,1048124870.0
20080915483,865317925.0,865000000.0,8.0,872791000.0,0.0,1.0,844861000.0,-2.3282080924855535,1028123012.0,864063090.0,-0.10831329479769636,1218113494.0
